Site,Depth,pH,TP,Alpy,Fepy,Alox,Feox,Siox,Pox,Piox,Porg-ox,P-AL,POls,DPS,C,N,C:Porg,N:Porg,BD,Al:Si
Fla,0,4.1,18.3,9.9,5.4,18.3,10.8,0.2,9.1,4.2,4.9,6.6,2.9,14,208,6,1040,26,226.2,35.9
Fla,0-10,4.3,2,2.1,0.7,9.5,2.3,0.2,0.8,0.3,0.5,0.6,0.2,13,11.8,0.5,1272,49,1121.7,43.1
Fla,10-20,4.6,1.9,6.4,2.3,11.9,3.6,0.2,0.9,0.3,0.6,0.3,0.2,11,3.6,0.2,630,30,1302.3,22.8
Fla,20-30,4.6,29.7,166.8,60.4,280.1,141.8,42.5,28.9,25.2,3.7,2.6,1.7,14,21,0.8,n.c,n.c,1002.9,2.7
Fla,30-40,5,26.9,153.9,33.4,618.2,243,171.7,23.7,21,2.8,0.2,0.4,5,21.1,0.9,n.c,n.c,1002.3,2.7
Fla,40-50,5.1,16.5,63.9,6.2,348.2,123.1,111,15.2,13.3,1.9,0.1,0.3,6,7.1,0.3,n.c,n.c,1207.7,2.6
Fla,50-60,5.1,17.1,38.1,2.5,188.1,41,62.8,14.8,13,1.7,0.5,0.5,14,3.9,0.2,n.c,n.c,1292.1,2.4
Fla,60-70,5.2,17.4,35.7,2.5,147.2,29.6,48.2,13.8,12.6,1.2,1.6,0.5,15,3.2,0.1,n.c,n.c,1314.5,2.3
Fla,70-80,5.3,15.8,34,2.5,122.9,32.8,39.4,10.7,9.2,1.5,1.5,0.4,16,2.2,0.1,n.c,n.c,1357.3,2.3
Fla,80-90,5.4,17.4,35.2,2.5,108.8,31.5,33.3,10.9,10,0.9,2.3,0.3,17,2.4,0.1,n.c,n.c,1347.2,2.2
Fla,90-100,5.3,16,34.3,2.5,114.7,40.9,37,10.7,9.7,1,1.8,0.3,14,3,0.1,n.c,n.c,1322.5,2.2
Rad,0,4,19.2,36.4,4.5,48.2,12.6,0.6,5.3,2.7,2.6,4.6,1.8,9.4,434.4,11.3,2213,55,108.1,18.8
Rad,0-10,4.3,1.7,8.2,1.5,13.4,2.9,0.4,1.1,0.2,0.9,0.4,0.1,5.3,6.7,0.3,485,16,1218.5,11.7
Rad,10-17,4.5,1.1,8.9,2.1,15.8,7,1.3,1,0.3,0.6,0.2,0.1,1.6,2.4,0.1,291,9,1346.9,5.3
Rad,17-20,4.7,2.2,18.8,10.8,27,28.6,2,1.6,1,0.6,0.1,0.1,3.9,2.6,0.1,292,8,1338.7,4
Rad,20-30,5.1,2.7,45.4,11.2,68.6,28.9,12.6,1.6,1.1,0.5,0.1,0.1,3.2,4,0.1,301,9,1287.8,1.8
Rad,30-40,5.6,6.1,73.2,6.8,201.1,27.3,67.1,3.1,2.3,0.8,0.1,0,4.1,5.4,0.2,n.c,n.c,1248.8,1.9
Rad,40-50,5.4,7.9,54.4,3.9,190,20,66.2,4.1,3.2,0.9,0.1,0.1,5.7,4.2,0.2,n.c,n.c,1281.9,2
Rad,50-60,5.5,10.1,45.2,2.3,177.4,13.9,62.7,6.5,5.5,1,0.4,0.1,7.1,3.4,0.1,227,8,1309.7,2.1
Rad,60-70,5.4,14.2,30.2,3.2,121.6,21.9,39.5,9.1,8,1.1,1.3,0.3,15.7,2.1,0.1,n.c,n.c,1358.5,2.3
Rad,70-80,5.4,12,32,6.8,83.5,39.8,24.4,8.3,7.4,0.9,2.3,0.2,13,1.6,0.1,n.c,n.c,1385.7,2.1
Ta,0,4,18.4,18.8,2,25.3,8.9,0.5,4.3,2.6,1.7,4.4,2.2,11,466.6,12.4,2314,53,100.7,13.4
Ta,0-2,4.3,2,4.6,2.5,10.4,4.2,0.4,0.5,0.2,0.4,0.2,0.1,n.c,8.4,0.2,n.c,n.c,1165,13.1
Ta,2-10,4.6,15,50.7,21.2,84.2,54.2,10.8,10.7,9.4,1.3,2.1,1.2,21,12.9,0.4,2169,54,1100.2,3.1
Ta,10-20,4.9,20.9,69,19.5,166.5,64.2,31.7,19.9,17,2.9,1.7,1,17,10.8,0.3,1161,31,1138,3.1
Ta,20-30,5.2,15.3,48.2,7.4,111.9,29.6,24.7,10.9,10,0.9,0.9,0.5,19,3.2,<LOD,n.c,n.c,1316.4,2.6
Ta,30-40,5.4,10.7,18.1,1.8,54.5,10.3,16.2,5,4.3,0.7,0.4,0.3,22,1.3,<LOD,n.c,n.c,1401,2.2
